space,time,day,poi,type,root_type,rating,weather,tid,label
40.7495490547773 -73.9390826225281,1085,Wednesday,Gotham Center,Building,Professional & Other Places,-1.0,Clear,2284,84
40.7658596400497 -73.9145779609680,1133,Wednesday,Irish Rover,Pub,Nightlife Spot,8.5,Clear,2284,84
40.7662253023685 -73.9107155799866,1285,Wednesday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2284,84
40.7673791569386 -73.9181184768677,360,Thursday,Favela Grill,Brazilian Restaurant,Food,8.8,Clouds,2284,84
40.7670557498932 -73.9170184400000,360,Thursday,Rapture Lounge,Lounge,Nightlife Spot,-1.0,Clouds,2284,84
40.7674745851219 -73.9180277307182,361,Thursday,El Omda,Middle Eastern Restaurant,Food,7.0,Clouds,2284,84
40.7660024911210 -73.9108569954028,1047,Friday,Jimmy's Steinway Collision,Automotive Shop,Shop & Service,-1.0,Clouds,2284,84
40.7678083915285 -73.9102541593408,1047,Friday,24-00 42nd Street,Cafeteria,Food,-1.0,Clouds,2284,84
40.7662253023685 -73.9107155799866,1411,Friday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2284,84
40.7835718264222 -73.9795508071909,140,Sunday,The Sunburnt Calf,Australian Restaurant,Food,-1.0,Clouds,2284,84
40.7832587916641 -73.9781217288699,140,Sunday,Nice Matin,French Restaurant,Food,8.1,Clouds,2284,84
40.7833685432654 -73.9781999588013,141,Sunday,Bourbon Street,Dive Bar,Nightlife Spot,-1.0,Clouds,2284,84
40.7658596400497 -73.9145779609680,173,Sunday,Irish Rover,Pub,Nightlife Spot,8.5,Clouds,2284,84
40.7886342410376 -73.9742935832175,974,Sunday,B. Cafe West,Gastropub,Food,-1.0,Clouds,2284,84
40.7886371137335 -73.9742247103344,975,Sunday,The Mermaid Inn,Seafood Restaurant,Food,9.3,Clouds,2284,84
40.7888004673973 -73.9742878438115,975,Sunday,Mamajuana Cafe,Latin American Restaurant,Food,-1.0,Clouds,2284,84
40.8675187238917 -73.9243370702065,1296,Sunday,Sparking A Spliff,General Entertainment,Arts & Entertainment,-1.0,Clouds,2284,84
40.8709379042595 -73.9301037076316,1298,Sunday,The Cave,Home (private),Residence,-1.0,Clouds,2284,84
40.8677202541029 -73.9207363128662,64,Monday,Piper's Kilt,Restaurant,Food,-1.0,Clear,2285,84
40.8684829078303 -73.9180755615234,65,Monday,Irish Eyes,Pub,Nightlife Spot,5.3,Clear,2285,84
40.8675264777778 -73.9244000000000,884,Monday,Paolopalooza,Arcade,Arts & Entertainment,-1.0,Clear,2285,84
40.8709379042595 -73.9301037076316,885,Monday,The Cave,Home (private),Residence,-1.0,Clear,2285,84
40.7585342833333 -73.9291369915009,1188,Monday,Rèst-âü-Ránt,Wine Bar,Nightlife Spot,8.4,Clear,2285,84
40.7568600000000 -73.9296780000000,1189,Monday,Tantra Lounge,Lounge,Nightlife Spot,7.9,Clear,2285,84
40.7722131371988 -74.1893077021171,1288,Monday,NBA Playoffs!!!!,Basketball Court,Outdoors & Recreation,-1.0,Clear,2285,84
40.8505652522171 -73.9318919332148,513,Tuesday,Red Sox Morgue,Art Gallery,Arts & Entertainment,-1.0,Clear,2285,84
40.7666478429867 -73.9208811521530,514,Tuesday,Dunkin' Donuts,Donut Shop,Food,6.0,Clear,2285,84
40.7666965975005 -73.9214873313904,515,Tuesday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clear,2285,84
40.7528084533503 -73.9737024235016,551,Tuesday,Midtown Hardware,Hardware Store,Shop & Service,7.1,Clear,2285,84
40.7531545627098 -73.9736048532768,552,Tuesday,Kinneys park,Parking,Professional & Other Places,-1.0,Clear,2285,84
40.7531259619306 -73.9737942542562,553,Tuesday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clear,2285,84
40.7533827198828 -73.9744428077131,569,Tuesday,CoCo Fresh Tea & Juice,Bubble Tea Shop,Food,8.8,Clear,2285,84
40.7527410080238 -73.9733079722472,711,Tuesday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clear,2285,84
40.7527518611088 -73.9730538675497,711,Tuesday,The Perfect Pint,Pub,Nightlife Spot,6.7,Clear,2285,84
40.7528567554950 -73.9736737263818,808,Tuesday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clear,2285,84
40.7526474262798 -73.9730022125569,808,Tuesday,Men's Restroom,Rest Area,Travel & Transport,-1.0,Clear,2285,84
40.7548393383649 -73.9686688832630,945,Tuesday,La Cava Wine Bar,Wine Bar,Nightlife Spot,8.3,Clear,2285,84
40.7531259619306 -73.9737942542562,946,Tuesday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clear,2285,84
40.7532067598819 -73.9733351000449,947,Tuesday,Hotel 48LEX Lounge,Hotel Bar,Nightlife Spot,6.6,Clear,2285,84
40.7529046730442 -73.9729792547779,947,Tuesday,O'Neill's Irish Bar,Pub,Nightlife Spot,-1.0,Clear,2285,84
40.7530990115290 -73.9325980338012,1139,Tuesday,The Journey Church NYC,Church,Professional & Other Places,-1.0,Clear,2285,84
40.7564395083446 -73.9300893558347,1139,Tuesday,Bank of America,Bank,Shop & Service,5.9,Clear,2285,84
40.7531545627098 -73.9736048532768,613,Thursday,Kinneys park,Parking,Professional & Other Places,-1.0,Clear,2285,84
40.7528567554950 -73.9736737263818,613,Thursday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clear,2285,84
40.7530478920311 -73.9736278109812,613,Thursday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clear,2285,84
40.7532375238346 -73.9732604873822,614,Thursday,TIAA-CREF,Office,Professional & Other Places,-1.0,Clear,2285,84
40.7525451616761 -73.9733580577815,722,Thursday,Blarney Stone,Bar,Nightlife Spot,-1.0,Clear,2285,84
40.7527518611088 -73.9730538675497,763,Thursday,The Perfect Pint,Pub,Nightlife Spot,6.7,Clear,2285,84
40.7529789171769 -73.9728569984436,829,Thursday,Digiday: Agency,Event Space,Professional & Other Places,-1.0,Clear,2285,84
40.7478115621338 -73.9402386813564,527,Friday,Dutch Kills,Cocktail Bar,Nightlife Spot,9.2,Clear,2285,84
40.7487590801911 -73.9447792990820,527,Friday,The Secret Theatre,Indie Theater,Arts & Entertainment,7.4,Clear,2285,84
40.7530478920311 -73.9736278109812,626,Friday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clear,2285,84
40.7531259619306 -73.9737942542562,898,Friday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2285,84
40.7869105752096 -73.9777371959421,164,Sunday,AMC Loews 84th Street 6,Movie Theater,Arts & Entertainment,9.4,Clear,2285,84
40.7843169021422 -73.9776051919239,164,Sunday,Jake's Dilemma,Dive Bar,Nightlife Spot,7.0,Clear,2285,84
40.7658110529264 -73.9137792885274,203,Sunday,Melody Lounge,Hookah Bar,Nightlife Spot,7.2,Clear,2285,84
40.7658596400497 -73.9145779609680,203,Sunday,Irish Rover,Pub,Nightlife Spot,8.5,Clear,2285,84
40.7660024911210 -73.9108569954028,689,Sunday,Jimmy's Steinway Collision,Automotive Shop,Shop & Service,-1.0,Clear,2285,84
40.7658353689891 -73.9126597511580,689,Sunday,Anthrax's Petting Zoo,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2285,84
40.7665907222196 -73.9129295889590,689,Sunday,ML Lounge,Nightlife Spot,Nightlife Spot,-1.0,Clear,2285,84
40.7886080000000 -73.9742224500000,961,Sunday,Ozu,Vegetarian / Vegan Restaurant,Food,-1.0,Clouds,2285,84
40.7888004673973 -73.9742878438115,961,Sunday,Mamajuana Cafe,Latin American Restaurant,Food,-1.0,Clouds,2285,84
40.7700768232489 -73.9179897308350,1063,Sunday,MTA Subway - Astoria Blvd/Hoyt Ave (N/W),Metro Station,Travel & Transport,-1.0,Clouds,2285,84
40.7875920569702 -73.9750167470025,1063,Sunday,The Coffee Bean and Tea Leaf,Coffee Shop,Food,-1.0,Clouds,2285,84
40.7888004673973 -73.9742878438115,1063,Sunday,Mamajuana Cafe,Latin American Restaurant,Food,-1.0,Clouds,2285,84
40.7893520485356 -73.9729562969961,13,Monday,Ballet Hispanico,Dance Studio,Arts & Entertainment,8.0,Clouds,2286,84
40.7875277485968 -73.9751717103171,13,Monday,200 West 86th Street,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7795008576189 -73.9558461945179,13,Monday,MTA Subway - 86th St (4/5/6),Metro Station,Travel & Transport,-1.0,Clouds,2286,84
40.7859350000000 -73.9705920600000,15,Monday,Bard Graduate Center,General College & University,College & University,-1.0,Clouds,2286,84
40.7658596400497 -73.9145779609680,37,Monday,Irish Rover,Pub,Nightlife Spot,8.5,Clouds,2286,84
40.7668855209038 -73.9216294884682,395,Monday,Tastee Corner,Diner,Food,5.2,Clouds,2286,84
40.7666478429867 -73.9208811521530,395,Monday,Dunkin' Donuts,Donut Shop,Food,6.0,Clouds,2286,84
40.7666965975005 -73.9214873313904,396,Monday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clouds,2286,84
40.7531259619306 -73.9737942542562,465,Monday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2286,84
40.7528084533503 -73.9737024235016,465,Monday,Midtown Hardware,Hardware Store,Shop & Service,7.1,Clouds,2286,84
40.7530478920311 -73.9736278109812,465,Monday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clouds,2286,84
40.7526474262798 -73.9730022125569,598,Monday,Men's Restroom,Rest Area,Travel & Transport,-1.0,Rain,2286,84
40.7527522528278 -73.9735876349967,598,Monday,TIA CREF Cafeteria,Building,Professional & Other Places,-1.0,Rain,2286,84
40.7531259619306 -73.9737942542562,598,Monday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Rain,2286,84
40.7523208277721 -73.9740582674316,599,Monday,TIAA-CREF,Office,Professional & Other Places,-1.0,Rain,2286,84
40.7537493049938 -73.9734384098380,1095,Monday,Aretsky's Patroon,New American Restaurant,Food,7.9,Clouds,2286,84
40.7658110529264 -73.9137792885274,1095,Monday,Melody Lounge,Hookah Bar,Nightlife Spot,7.2,Clouds,2286,84
40.7658596400497 -73.9145779609680,1096,Monday,Irish Rover,Pub,Nightlife Spot,8.5,Clouds,2286,84
40.7668855209038 -73.9216294884682,343,Tuesday,Tastee Corner,Diner,Food,5.2,Clouds,2286,84
40.7682787045544 -73.9106790154262,343,Tuesday,Roisette French Bakery,Coffee,Food,-1.0,Clouds,2286,84
40.7673262965365 -73.9220521829285,344,Tuesday,7-Eleven,Convenience Store,Shop & Service,6.3,Clouds,2286,84
40.7666965975005 -73.9214873313904,344,Tuesday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clouds,2286,84
40.7531259619306 -73.9737942542562,505,Tuesday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2286,84
40.7528084533503 -73.9737024235016,505,Tuesday,Midtown Hardware,Hardware Store,Shop & Service,7.1,Clouds,2286,84
40.7668855209038 -73.9216294884682,351,Wednesday,Tastee Corner,Diner,Food,5.2,Clouds,2286,84
40.7670589410010 -73.9219832914375,352,Wednesday,Trade Fair,Supermarket,Shop & Service,5.7,Clouds,2286,84
40.7666478429867 -73.9208811521530,352,Wednesday,Dunkin' Donuts,Donut Shop,Food,6.0,Clouds,2286,84
40.7670890399928 -73.9213173390991,352,Wednesday,MTA - 30th Avenue Bus Stop,Bus Station,Travel & Transport,5.1,Clouds,2286,84
40.7528567554950 -73.9736737263818,425,Wednesday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clouds,2286,84
40.7531259619306 -73.9737942542562,426,Wednesday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2286,84
40.7526474262798 -73.9730022125569,467,Wednesday,Men's Restroom,Rest Area,Travel & Transport,-1.0,Clouds,2286,84
40.7527522528278 -73.9735876349967,714,Wednesday,TIA CREF Cafeteria,Building,Professional & Other Places,-1.0,Clear,2286,84
40.7523208277721 -73.9740582674316,714,Wednesday,TIAA-CREF,Office,Professional & Other Places,-1.0,Clear,2286,84
40.7530478920311 -73.9736278109812,715,Wednesday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clear,2286,84
40.7555958969709 -73.9738011360168,803,Wednesday,InterContinental New York Barclay,Hotel,Travel & Transport,8.0,Clouds,2286,84
40.7527513488484 -73.9729428291321,804,Wednesday,Convene at 730 Third Avenue,Office,Professional & Other Places,-1.0,Clouds,2286,84
40.7531545627098 -73.9736048532768,857,Wednesday,Kinneys park,Parking,Professional & Other Places,-1.0,Clouds,2286,84
40.7660024911210 -73.9108569954028,1118,Wednesday,Jimmy's Steinway Collision,Automotive Shop,Shop & Service,-1.0,Clouds,2286,84
40.7654838850782 -73.9138252181282,1155,Wednesday,Chubby Burgers & Chicken,Burger Joint,Food,5.5,Clouds,2286,84
40.7508544805605 -73.9461971439807,357,Thursday,Apple Visual Graphics,Print Shop,Shop & Service,-1.0,Clouds,2286,84
40.7541246898392 -73.9404223746586,358,Thursday,L.I.C. (@Mom Dukes),Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7499283331793 -73.9381089744157,358,Thursday,Palindromageddon,Historic Site,Arts & Entertainment,-1.0,Clouds,2286,84
40.7528084533503 -73.9737024235016,661,Thursday,Midtown Hardware,Hardware Store,Shop & Service,7.1,Clear,2286,84
40.7552510000000 -73.9756320000000,769,Thursday,ABInBev,Office,Professional & Other Places,-1.0,Clouds,2286,84
40.7531545627098 -73.9736048532768,894,Thursday,Kinneys park,Parking,Professional & Other Places,-1.0,Clouds,2286,84
40.7883470162347 -73.9734613675622,896,Thursday,Glenn Gardens,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7888004673973 -73.9742878438115,977,Thursday,Mamajuana Cafe,Latin American Restaurant,Food,-1.0,Clouds,2286,84
40.7531545627098 -73.9736048532768,703,Friday,Kinneys park,Parking,Professional & Other Places,-1.0,Clear,2286,84
40.7537124772213 -73.9737712965716,704,Friday,New York Public Library - Grand Central,Library,Professional & Other Places,-1.0,Clear,2286,84
40.7528084533503 -73.9737024235016,704,Friday,Midtown Hardware,Hardware Store,Shop & Service,7.1,Clear,2286,84
40.7532450000000 -73.9733970000000,792,Friday,MDTF office,Office,Professional & Other Places,-1.0,Clear,2286,84
40.7660024911210 -73.9108569954028,1014,Friday,Jimmy's Steinway Collision,Automotive Shop,Shop & Service,-1.0,Clouds,2286,84
40.7662253023685 -73.9107155799866,1015,Friday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7537493049938 -73.9734384098380,1160,Friday,Aretsky's Patroon,New American Restaurant,Food,7.9,Clouds,2286,84
40.7653964648909 -73.9137411117554,1161,Friday,Gyro Uno,Greek Restaurant,Food,7.6,Clouds,2286,84
40.7658596400497 -73.9145779609680,1161,Friday,Irish Rover,Pub,Nightlife Spot,8.5,Clouds,2286,84
40.7583402973834 -73.9843085857532,1244,Friday,Broadway @ Times Square Hotel,Hotel,Travel & Transport,7.6,Clear,2286,84
40.7658596400497 -73.9145779609680,1244,Friday,Irish Rover,Pub,Nightlife Spot,8.5,Clear,2286,84
40.7669790000000 -73.9125070000000,1121,Saturday,Eastern Nights,Hookah Bar,Nightlife Spot,4.9,Clouds,2286,84
40.7662253023685 -73.9107155799866,1122,Saturday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7665907222196 -73.9129295889590,1216,Sunday,ML Lounge,Nightlife Spot,Nightlife Spot,-1.0,Clouds,2286,84
40.7660024911210 -73.9108569954028,1216,Sunday,Jimmy's Steinway Collision,Automotive Shop,Shop & Service,-1.0,Clouds,2286,84
40.7658353689891 -73.9126597511580,1216,Sunday,Anthrax's Petting Zoo,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7669790000000 -73.9125070000000,1217,Sunday,Eastern Nights,Hookah Bar,Nightlife Spot,4.9,Clouds,2286,84
40.7662253023685 -73.9107155799866,1217,Sunday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7662253023685 -73.9107155799866,1290,Sunday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2286,84
40.7528084533503 -73.9737024235016,646,Tuesday,Midtown Hardware,Hardware Store,Shop & Service,7.1,Clouds,2289,84
40.7527522528278 -73.9735876349967,648,Tuesday,TIA CREF Cafeteria,Building,Professional & Other Places,-1.0,Clouds,2289,84
40.7527410080238 -73.9733079722472,648,Tuesday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clouds,2289,84
40.7523208277721 -73.9740582674316,649,Tuesday,TIAA-CREF,Office,Professional & Other Places,-1.0,Clouds,2289,84
40.7531545627098 -73.9736048532768,650,Tuesday,Kinneys park,Parking,Professional & Other Places,-1.0,Clouds,2289,84
40.7530716014474 -73.9734671069929,664,Tuesday,27th Floor Vip,Meeting Room,Professional & Other Places,-1.0,Clouds,2289,84
40.7531814807591 -73.9731055225286,696,Tuesday,Hotel 48LEX New York,Hotel,Travel & Transport,8.3,Clouds,2289,84
40.7528330000000 -73.9732160000000,923,Tuesday,Schnitzel & Things,Restaurant,Food,-1.0,Clouds,2289,84
40.7533827198828 -73.9744428077131,923,Tuesday,CoCo Fresh Tea & Juice,Bubble Tea Shop,Food,8.8,Clouds,2289,84
40.7527410080238 -73.9733079722472,924,Tuesday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clouds,2289,84
40.7531545627098 -73.9736048532768,924,Tuesday,Kinneys park,Parking,Professional & Other Places,-1.0,Clouds,2289,84
40.7511664763887 -73.9406490325928,1123,Tuesday,Scandals NY Gentlemen's Club,Strip Club,Nightlife Spot,-1.0,Clouds,2289,84
40.7658596400497 -73.9145779609680,1172,Tuesday,Irish Rover,Pub,Nightlife Spot,8.5,Clouds,2289,84
40.6394869711505 -73.9797736065030,355,Wednesday,Ditmas Grocery Store Inc,Convenience Store,Shop & Service,-1.0,Clear,2289,84
40.7668855209038 -73.9216294884682,355,Wednesday,Tastee Corner,Diner,Food,5.2,Clear,2289,84
40.7670589410010 -73.9219832914375,356,Wednesday,Trade Fair,Supermarket,Shop & Service,5.7,Clear,2289,84
40.7670890399928 -73.9213173390991,356,Wednesday,MTA - 30th Avenue Bus Stop,Bus Station,Travel & Transport,5.1,Clear,2289,84
40.7666478429867 -73.9208811521530,356,Wednesday,Dunkin' Donuts,Donut Shop,Food,6.0,Clear,2289,84
40.7666965975005 -73.9214873313904,356,Wednesday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clear,2289,84
40.7530478920311 -73.9736278109812,727,Wednesday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clear,2289,84
40.7530716014474 -73.9734671069929,727,Wednesday,27th Floor Vip,Meeting Room,Professional & Other Places,-1.0,Clear,2289,84
40.7525451616761 -73.9733580577815,742,Wednesday,Blarney Stone,Bar,Nightlife Spot,-1.0,Clear,2289,84
40.7524465678262 -73.9732432690713,742,Wednesday,711 Third Ave,Office,Professional & Other Places,-1.0,Clear,2289,84
40.6394264500000 -73.9797699000000,1070,Saturday,Cafe and Market,Snack Place,Food,-1.0,Clear,2289,84
40.7670557498932 -73.9170184400000,1073,Saturday,Rapture Lounge,Lounge,Nightlife Spot,-1.0,Clear,2289,84
40.7678608809452 -73.9161790956525,1073,Saturday,Caverna Do Rodrigo,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2289,84
40.7679182068414 -73.9159724148639,1193,Saturday,Chez MoScoe,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2289,84
40.7673791569386 -73.9181184768677,1194,Saturday,Favela Grill,Brazilian Restaurant,Food,8.8,Clear,2289,84
40.7677599703159 -73.9159400000000,1195,Saturday,Gnomeville,Home (private),Residence,-1.0,Clear,2289,84
40.7651140000000 -73.9137126666667,1336,Saturday,King's Deli,Deli / Bodega,Food,-1.0,Clear,2289,84
40.7669790000000 -73.9125070000000,1337,Saturday,Eastern Nights,Hookah Bar,Nightlife Spot,4.9,Clear,2289,84
40.7658596400497 -73.9145779609680,1337,Saturday,Irish Rover,Pub,Nightlife Spot,8.5,Clear,2289,84
40.6394264500000 -73.9797699000000,32,Sunday,Cafe and Market,Snack Place,Food,-1.0,Clear,2289,84
40.7668855209038 -73.9216294884682,33,Sunday,Tastee Corner,Diner,Food,5.2,Clear,2289,84
40.7658110529264 -73.9137792885274,33,Sunday,Melody Lounge,Hookah Bar,Nightlife Spot,7.2,Clear,2289,84
40.7666236508633 -73.9221210743950,338,Monday,Pacific Palisades #1R,Home (private),Residence,-1.0,Clear,2291,84
40.7668855209038 -73.9216294884682,338,Monday,Tastee Corner,Diner,Food,5.2,Clear,2291,84
40.7679490000000 -73.9161210000000,339,Monday,25-64 35th Street,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2291,84
40.7666965975005 -73.9214873313904,339,Monday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clear,2291,84
40.7538250000000 -73.9737990000000,368,Monday,Udon West - Midtown East,Udon Restaurant,Food,8.0,Clear,2291,84
40.7537535162386 -73.9737081629250,368,Monday,New York Public Library - Grand Central,Library,Professional & Other Places,-1.0,Clear,2291,84
40.7530478920311 -73.9736278109812,484,Monday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clouds,2291,84
40.7530716014474 -73.9734671069929,540,Monday,27th Floor Vip,Meeting Room,Professional & Other Places,-1.0,Clouds,2291,84
40.7523208277721 -73.9740582674316,721,Monday,TIAA-CREF,Office,Professional & Other Places,-1.0,Clear,2291,84
40.7527522528278 -73.9735876349967,738,Monday,TIA CREF Cafeteria,Building,Professional & Other Places,-1.0,Clear,2291,84
40.7527410080238 -73.9733079722472,739,Monday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clear,2291,84
40.7528227965649 -73.9735302407186,830,Monday,Men's Restroom,Rest Area,Travel & Transport,-1.0,Clear,2291,84
40.7527518611088 -73.9730538675497,830,Monday,The Perfect Pint,Pub,Nightlife Spot,6.7,Clear,2291,84
40.7529046730442 -73.9729792547779,918,Monday,O'Neill's Irish Bar,Pub,Nightlife Spot,-1.0,Clouds,2291,84
40.7658596400497 -73.9145779609680,1068,Monday,Irish Rover,Pub,Nightlife Spot,8.5,Clouds,2291,84
40.7669790000000 -73.9125070000000,1068,Monday,Eastern Nights,Hookah Bar,Nightlife Spot,4.9,Clouds,2291,84
40.7678608809452 -73.9161790956525,1068,Monday,Caverna Do Rodrigo,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2291,84
40.7662253023685 -73.9107155799866,1158,Monday,Rod's Apt,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,2291,84
40.7660840307868 -73.9193711377231,1178,Monday,El Rey Del Taco Truck,Food Truck,Food,8.7,Clouds,2291,84
40.7679729769926 -73.9160183439470,1199,Tuesday,Work #4 Mario Sotirov,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2291,84
40.7679490000000 -73.9161210000000,1199,Tuesday,25-64 35th Street,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2291,84
40.8675248875000 -73.9244191000000,357,Wednesday,This Guy Next To Me Smells Like A Dumpster,Government Building,Professional & Other Places,-1.0,Clouds,2291,84
40.7666236508633 -73.9221210743950,358,Wednesday,Pacific Palisades #1R,Home (private),Residence,-1.0,Clouds,2291,84
40.7668855209038 -73.9216294884682,358,Wednesday,Tastee Corner,Diner,Food,5.2,Clouds,2291,84
40.7668501517328 -73.9216043878006,358,Wednesday,KU jayhawkapocalypse,College Basketball Court,College & University,-1.0,Clouds,2291,84
40.7666965975005 -73.9214873313904,358,Wednesday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clouds,2291,84
40.7527410080238 -73.9733079722472,437,Wednesday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clouds,2291,84
40.7531545627098 -73.9736048532768,479,Wednesday,Kinneys park,Parking,Professional & Other Places,-1.0,Clouds,2291,84
40.7525451616761 -73.9733580577815,480,Wednesday,Blarney Stone,Bar,Nightlife Spot,-1.0,Clouds,2291,84
40.7530716014474 -73.9734671069929,600,Wednesday,27th Floor Vip,Meeting Room,Professional & Other Places,-1.0,Clouds,2291,84
40.7531259619306 -73.9737942542562,605,Wednesday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2291,84
40.7530478920311 -73.9736278109812,606,Wednesday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clouds,2291,84
40.7537535162386 -73.9737081629250,938,Wednesday,New York Public Library - Grand Central,Library,Professional & Other Places,-1.0,Clear,2291,84
40.7538250000000 -73.9737990000000,938,Wednesday,Udon West - Midtown East,Udon Restaurant,Food,8.0,Clear,2291,84
40.7528567554950 -73.9736737263818,939,Wednesday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clear,2291,84
40.7676322407311 -73.9175110332453,994,Wednesday,El Omda,Middle Eastern Restaurant,Food,7.0,Clear,2291,84
40.7666236508633 -73.9221210743950,359,Thursday,Pacific Palisades #1R,Home (private),Residence,-1.0,Clear,2291,84
40.7668855209038 -73.9216294884682,359,Thursday,Tastee Corner,Diner,Food,5.2,Clear,2291,84
40.7668501517328 -73.9216043878006,359,Thursday,KU jayhawkapocalypse,College Basketball Court,College & University,-1.0,Clear,2291,84
40.7666478429867 -73.9208811521530,360,Thursday,Dunkin' Donuts,Donut Shop,Food,6.0,Clear,2291,84
40.7666965975005 -73.9214873313904,360,Thursday,MTA Subway - 30th Ave (N/W),Metro Station,Travel & Transport,-1.0,Clear,2291,84
40.7568600000000 -73.9296780000000,366,Thursday,Tantra Lounge,Lounge,Nightlife Spot,7.9,Clear,2291,84
40.7720656157200 -73.9059710989441,367,Thursday,Good Morning Sleepy Word,Comedy Club,Arts & Entertainment,-1.0,Clear,2291,84
40.7528567554950 -73.9736737263818,431,Thursday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clouds,2291,84
40.7530478920311 -73.9736278109812,431,Thursday,"At work busy as hell, pulling my hair!!!....how long till Friday??",Office,Professional & Other Places,-1.0,Clouds,2291,84
40.7527410080238 -73.9733079722472,432,Thursday,Hofbräu Bierhaus NYC,German Restaurant,Food,8.2,Clouds,2291,84
40.7528567554950 -73.9736737263818,519,Thursday,Sentry Coat Check!,Convention Center,Professional & Other Places,-1.0,Clouds,2291,84
40.7531259619306 -73.9737942542562,526,Thursday,Facebook Mobile Hack NYC,Coworking Space,Professional & Other Places,-1.0,Clouds,2291,84
40.7532450000000 -73.9733970000000,767,Thursday,MDTF office,Office,Professional & Other Places,-1.0,Clear,2291,84
40.7511664763887 -73.9406490325928,1036,Thursday,Scandals NY Gentlemen's Club,Strip Club,Nightlife Spot,-1.0,Clear,2291,84
40.7512672178343 -73.9397163025759,1037,Thursday,Our Tempurpedic,Event Space,Professional & Other Places,-1.0,Clear,2291,84
40.7679729769926 -73.9160183439470,1062,Thursday,Work #4 Mario Sotirov,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2291,84
40.7679182068414 -73.9159724148639,1062,Thursday,Chez MoScoe,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2291,84
40.7678608809452 -73.9161790956525,1062,Thursday,Caverna Do Rodrigo,Residential Building (Apartment / Condo),Residence,-1.0,Clear,2291,84
